feature,classifier_importance
rolling7,0.5920538
is_weekend,0.105244584
lag1,0.0737237
lag7,0.07044408
weekday,0.0251071
lag14,0.013062767
rolling14,0.011913062
holiday,0.011271744
weekday_sin,0.008800584
lag21,0.0076847784
weekday_cos,0.006167624
lag28,0.004726707
is_quarter_end,0.004689885
is_month_start,0.004679414
is_quarter_start,0.004611273
quarter,0.004224559
trend,0.0040075416
rolling30,0.0039268364
week,0.0038979491
month_cos,0.0037745836
month,0.0037039083
month_sin,0.0035329813
is_month_end,0.0034775916
day,0.0033624743
year,0.0033373325
store_id,0.0028968605
store_weekday_mean,0.0028633364
store_mean,0.0027821632
gate_id,0.0027044893
gate_weekday_mean,0.002601646
lag30,0.002522365
gate_mean,0.0022023397
