date,store_id,gate_id,total_footfall,low_footfall,predicted_footfall,absolute_error,error_percent,stage1_probability_low,model_used,error,squared_error,underprediction_amount,overprediction_amount,error_percent_calculated,prediction_direction,footfall_category,weekday_number,month_number,error_bucket,day_type
2025-10-26,280,0,4183,0,9350.994164339663,5167.994164339663,123.54755353429752,0.0034811457,normal_model,5167.994164339663,26708163.682648815,0.0,5167.994164339663,123.54755353429748,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-04-09,368,0,0,1,5155.939509244955,5155.939509244955,,0.00046911155,normal_model,5155.939509244955,26583712.222993106,0.0,5155.939509244955,,OVERPREDICTED,LOW,3,4,1000+,Weekday
2025-10-26,320,0,4360,0,8606.66696139526,4246.66696139526,97.40061838062525,0.00015447028,normal_model,4246.66696139526,18034180.28100605,0.0,4246.66696139526,97.40061838062523,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-03-04,280,0,0,1,3518.652943560429,3518.652943560429,,0.031170659,normal_model,3518.652943560429,12380918.53722647,0.0,3518.652943560429,,OVERPREDICTED,LOW,2,3,1000+,Weekday
2025-12-28,429,0,0,1,3457.113568644581,3457.113568644581,,0.00082422246,normal_model,3457.113568644581,11951634.22650647,0.0,3457.113568644581,,OVERPREDICTED,LOW,6,12,1000+,Weekend
2025-12-28,429,1,0,1,3253.4701698402528,3253.4701698402528,,0.00079491903,normal_model,3253.4701698402528,10585068.146040363,0.0,3253.4701698402528,,OVERPREDICTED,LOW,6,12,1000+,Weekend
2025-10-20,280,0,1362,0,4441.936184805949,3079.936184805949,226.13334690205207,0.00077363296,normal_model,3079.936184805949,9486006.902477024,0.0,3079.936184805949,226.13334690205207,OVERPREDICTED,NORMAL/HIGH,0,10,1000+,Weekday
2025-10-26,358,0,3633,0,6697.698554772414,3064.6985547724144,84.3572407038925,0.00015502583,normal_model,3064.6985547724144,9392377.231624125,0.0,3064.6985547724144,84.3572407038925,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2025-10-26,385,0,3580,0,6514.924327931221,2934.9243279312213,81.98112647852574,0.00023367573,normal_model,2934.9243279312213,8613780.810682531,0.0,2934.9243279312213,81.98112647852574,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-01-04,352,0,1818,0,4570.414581441106,2752.414581441106,151.39794177343816,0.00072655716,normal_model,2752.414581441106,7575786.028129618,0.0,2752.414581441106,151.39794177343816,OVERPREDICTED,NORMAL/HIGH,6,1,1000+,Weekend
2025-10-26,331,0,4516,0,7115.718864231225,2599.718864231225,57.56684818935396,0.00015812382,normal_model,2599.718864231225,6758538.17303969,0.0,2599.718864231225,57.56684818935396,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-07-26,369,0,0,1,2502.0014162153097,2502.0014162153097,,0.38681772,normal_model,2502.0014162153097,6260011.086743415,0.0,2502.0014162153097,,OVERPREDICTED,LOW,6,7,1000+,Weekend
2026-07-23,368,0,5583,0,7933.187199378737,2350.187199378737,42.09541822279665,0.0003881871,normal_model,2350.187199378737,5523379.872123673,0.0,2350.187199378737,42.09541822279665,OVERPREDICTED,NORMAL/HIGH,3,7,1000+,Weekday
2025-10-26,365,0,3237,0,5500.356919375634,2263.356919375634,69.92143711385955,0.0001508931,normal_model,2263.356919375634,5122784.54448556,0.0,2263.356919375634,69.92143711385955,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2025-10-26,308,0,4087,0,6339.458622517129,2252.458622517129,55.112762968366255,0.00020258132,normal_model,2252.458622517129,5073569.846151762,0.0,2252.458622517129,55.112762968366255,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-02-02,510,0,1479,0,3725.997222706292,2246.997222706292,151.92678990576684,0.004403655,normal_model,2246.997222706292,5048996.51884979,0.0,2246.997222706292,151.9267899057669,OVERPREDICTED,NORMAL/HIGH,0,2,1000+,Weekday
2026-07-19,293,0,772,0,3011.388335722518,2239.388335722518,290.0762092904816,0.0015692523,normal_model,2239.388335722518,5014860.1181700695,0.0,2239.388335722518,290.0762092904816,OVERPREDICTED,NORMAL/HIGH,6,7,1000+,Weekend
2026-07-19,293,1,31,1,2253.563600810371,2222.563600810371,7169.560002614101,0.0015979863,normal_model,2222.563600810371,4939788.959647163,0.0,2222.563600810371,7169.560002614101,OVERPREDICTED,LOW,6,7,1000+,Weekend
2025-10-20,366,0,1123,0,3335.0289128378035,2212.0289128378035,196.97496997665212,0.00016935988,normal_model,2212.0289128378035,4893071.911230395,0.0,2212.0289128378035,196.97496997665215,OVERPREDICTED,NORMAL/HIGH,0,10,1000+,Weekday
2025-10-26,364,0,2686,0,4841.694846185242,2155.6948461852417,80.25669568820706,9.884149e-05,normal_model,2155.6948461852417,4647020.2698696125,0.0,2155.6948461852417,80.25669568820706,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2025-10-20,368,0,2072,0,4224.3843625294685,2152.3843625294685,103.87955417613266,0.0065784124,normal_model,2152.3843625294685,4632758.444061386,0.0,2152.3843625294685,103.87955417613266,OVERPREDICTED,NORMAL/HIGH,0,10,1000+,Weekday
2025-10-26,344,0,1926,0,4056.514071955156,2130.514071955156,110.6185914826145,0.000108092325,normal_model,2130.514071955156,4539090.21079894,0.0,2130.514071955156,110.61859148261452,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-01-04,352,1,1456,0,3569.2140152566667,2113.2140152566667,145.13832522367215,0.00075649814,normal_model,2113.2140152566667,4465673.474277204,0.0,2113.2140152566667,145.13832522367215,OVERPREDICTED,NORMAL/HIGH,6,1,1000+,Weekend
2026-04-09,368,4,0,1,2108.7847791306726,2108.7847791306726,,0.00048367845,normal_model,2108.7847791306726,4446973.2446932,0.0,2108.7847791306726,,OVERPREDICTED,LOW,3,4,1000+,Weekday
2025-10-26,373,0,2970,0,4996.099917251148,2026.0999172511483,68.2188524326986,0.00010817223,normal_model,2026.0999172511483,4105080.87468511,0.0,2026.0999172511483,68.2188524326986,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-03-01,368,0,5632,0,7656.540743030658,2024.5407430306577,35.94710126119776,0.0007604626,normal_model,2024.5407430306577,4098765.2201911276,0.0,2024.5407430306577,35.94710126119776,OVERPREDICTED,NORMAL/HIGH,6,3,1000+,Weekend
2026-04-09,368,2,0,1,1949.6365712382185,1949.6365712382185,,0.00051743817,normal_model,1949.6365712382185,3801082.759909517,0.0,1949.6365712382185,,OVERPREDICTED,LOW,3,4,1000+,Weekday
2026-07-01,280,0,5172,0,7116.08537339635,1944.0853733963504,37.58865764494104,0.0024983694,normal_model,1944.0853733963504,3779467.939053627,0.0,1944.0853733963504,37.58865764494104,OVERPREDICTED,NORMAL/HIGH,2,7,1000+,Weekday
2025-10-18,280,0,5261,0,7196.134612523703,1935.1346125237033,36.78263851974346,0.0006773343,normal_model,1935.1346125237033,3744745.968587263,0.0,1935.1346125237033,36.78263851974346,OVERPREDICTED,NORMAL/HIGH,5,10,1000+,Weekend
2025-10-26,363,0,1917,0,3850.029854668044,1933.0298546680442,100.8361948183643,0.00013202486,normal_model,1933.0298546680442,3736604.41903796,0.0,1933.0298546680442,100.83619481836432,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2025-10-27,280,0,264,0,2195.845980673781,1931.845980673781,731.759841164311,0.0009054353,normal_model,1931.845980673781,3732028.8930454426,0.0,1931.845980673781,731.759841164311,OVERPREDICTED,NORMAL/HIGH,0,10,1000+,Weekday
2026-05-02,280,0,5510,0,7437.020617433444,1927.0206174334444,34.97315095160516,0.0013321051,normal_model,1927.0206174334444,3713408.460013573,0.0,1927.0206174334444,34.973150951605156,OVERPREDICTED,NORMAL/HIGH,5,5,1000+,Weekend
2026-07-10,280,4,0,1,1921.5176397686248,1921.5176397686248,,0.0013661023,normal_model,1921.5176397686248,3692230.0399419866,0.0,1921.5176397686248,,OVERPREDICTED,LOW,4,7,1000+,Weekday
2026-07-26,293,0,0,1,1912.948885894389,1912.948885894389,,0.0035423015,normal_model,1912.948885894389,3659373.4400445838,0.0,1912.948885894389,,OVERPREDICTED,LOW,6,7,1000+,Weekend
2026-07-22,368,0,6708,0,8620.222326699992,1912.2223266999918,28.50659401759081,0.00039420306,normal_model,1912.2223266999918,3656594.22672993,0.0,1912.2223266999918,28.506594017590814,OVERPREDICTED,NORMAL/HIGH,2,7,1000+,Weekday
2026-01-24,510,0,4161,0,6060.0805027448105,1899.0805027448105,45.64000246923361,0.0016200523,normal_model,1899.0805027448105,3606506.755905482,0.0,1899.0805027448105,45.64000246923361,OVERPREDICTED,NORMAL/HIGH,5,1,1000+,Weekend
2025-10-26,343,0,3938,0,5832.39969519284,1894.3996951928402,48.10562963922906,0.00021708815,normal_model,1894.3996951928402,3588750.2051467258,0.0,1894.3996951928402,48.10562963922906,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2025-10-26,348,0,2782,0,4676.042914417759,1894.0429144177588,68.08206018755423,0.00014082332,normal_model,1894.0429144177588,3587398.5616561174,0.0,1894.0429144177588,68.08206018755423,OVERPREDICTED,NORMAL/HIGH,6,10,1000+,Weekend
2026-01-01,429,0,0,1,1889.976123286409,1889.976123286409,,0.0036087704,normal_model,1889.976123286409,3572009.746592723,0.0,1889.976123286409,,OVERPREDICTED,LOW,3,1,1000+,Weekday
2026-07-23,385,0,0,1,1864.0738465075408,1864.0738465075408,,0.00075105974,normal_model,1864.0738465075408,3474771.305233419,0.0,1864.0738465075408,,OVERPREDICTED,LOW,3,7,1000+,Weekday
2026-03-08,351,0,1749,0,3602.294358366027,1853.2943583660272,105.96308509811476,0.00021360243,normal_model,1853.2943583660272,3434699.978751344,0.0,1853.2943583660272,105.96308509811476,OVERPREDICTED,NORMAL/HIGH,6,3,1000+,Weekend
2026-01-01,429,1,0,1,1841.503211877471,1841.503211877471,,0.004096025,normal_model,1841.503211877471,3391134.0793550415,0.0,1841.503211877471,,OVERPREDICTED,LOW,3,1,1000+,Weekday
2025-10-25,364,0,2640,0,4471.652549893145,1831.652549893145,69.38077840504337,0.00012285978,normal_model,1831.652549893145,3354951.0635300605,0.0,1831.652549893145,69.38077840504337,OVERPREDICTED,NORMAL/HIGH,5,10,1000+,Weekend
2025-12-28,354,0,6658,0,8468.822180568219,1810.8221805682188,27.197689705139965,0.00026313897,normal_model,1810.8221805682188,3279076.9696378387,0.0,1810.8221805682188,27.197689705139965,OVERPREDICTED,NORMAL/HIGH,6,12,1000+,Weekend
2025-11-06,280,0,2051,0,3849.846227632883,1798.8462276328828,87.70581314641068,0.0012281758,normal_model,1798.8462276328828,3235847.7506690533,0.0,1798.8462276328828,87.70581314641068,OVERPREDICTED,NORMAL/HIGH,3,11,1000+,Weekday
2026-02-15,368,0,5854,0,7652.547153205355,1798.5471532053552,30.723388336271867,0.0022958051,normal_model,1798.5471532053552,3234771.8623030875,0.0,1798.5471532053552,30.723388336271867,OVERPREDICTED,NORMAL/HIGH,6,2,1000+,Weekend
2025-12-28,309,0,7086,0,8849.668331804269,1763.6683318042687,24.889476881234387,0.00059348607,normal_model,1763.6683318042687,3110525.9846092523,0.0,1763.6683318042687,24.889476881234387,OVERPREDICTED,NORMAL/HIGH,6,12,1000+,Weekend
2025-10-20,355,0,850,0,2584.5737918691448,1734.5737918691448,204.0675049257817,0.0004943772,normal_model,1734.5737918691448,3008746.239439303,0.0,1734.5737918691448,204.06750492578172,OVERPREDICTED,NORMAL/HIGH,0,10,1000+,Weekday
