date,store_id,gate_id,total_footfall,low_footfall,predicted_footfall,absolute_error,error_percent,stage1_probability_low,model_used,error,squared_error,underprediction_amount,overprediction_amount,error_percent_calculated,prediction_direction,footfall_category,weekday_number,month_number,error_bucket,day_type
2026-01-16,510,0,21172,0,3533.840678877119,17638.159321122883,83.30889533876291,0.0031458193,normal_model,-17638.159321122883,311104664.23731405,17638.159321122883,0.0,83.30889533876291,UNDERPREDICTED,NORMAL/HIGH,4,1,1000+,Weekday
2026-01-17,510,0,21066,0,4494.406714085608,16571.593285914394,78.66511575958603,0.002738943,normal_model,-16571.593285914394,274617704.03376305,16571.593285914394,0.0,78.66511575958603,UNDERPREDICTED,NORMAL/HIGH,5,1,1000+,Weekend
2026-01-18,510,0,18437,0,4736.990671426314,13700.009328573686,74.30715045058136,0.0025699192,normal_model,-13700.009328573686,187690255.603006,13700.009328573686,0.0,74.30715045058136,UNDERPREDICTED,NORMAL/HIGH,6,1,1000+,Weekend
2025-12-25,280,0,21666,0,10326.32880549802,11339.67119450198,52.33855439168272,0.0007912148,normal_model,-11339.67119450198,128588142.79941796,11339.67119450198,0.0,52.33855439168272,UNDERPREDICTED,NORMAL/HIGH,3,12,1000+,Weekday
2026-01-15,510,0,13452,0,2895.500723408577,10556.499276591423,78.4753142773671,0.0015683785,normal_model,-10556.499276591423,111439676.97667524,10556.499276591423,0.0,78.4753142773671,UNDERPREDICTED,NORMAL/HIGH,3,1,1000+,Weekday
2026-05-17,272,0,12954,0,2809.248290782972,10144.751709217027,78.31366148847482,0.0034522451,normal_model,-10144.751709217027,102915987.2416618,10144.751709217027,0.0,78.31366148847482,UNDERPREDICTED,NORMAL/HIGH,6,5,1000+,Weekend
2026-01-14,510,0,12324,0,2378.7908286262364,9945.209171373765,80.6978998001766,0.001942425,normal_model,-9945.209171373765,98907185.46237685,9945.209171373765,0.0,80.6978998001766,UNDERPREDICTED,NORMAL/HIGH,2,1,1000+,Weekday
2026-05-24,272,0,14351,0,4920.194348632314,9430.805651367686,65.71532054468459,0.0024602672,normal_model,-9430.805651367686,88940095.23386867,9430.805651367686,0.0,65.71532054468459,UNDERPREDICTED,NORMAL/HIGH,6,5,1000+,Weekend
2026-01-11,510,0,12374,0,3347.456614330625,9026.543385669374,72.9476594930449,0.0079736225,normal_model,-9026.543385669374,81478485.49337153,9026.543385669374,0.0,72.9476594930449,UNDERPREDICTED,NORMAL/HIGH,6,1,1000+,Weekend
2026-05-31,272,0,14748,0,5938.207908261936,8809.792091738065,59.73550374110432,0.0023246196,normal_model,-8809.792091738065,77612436.69965056,8809.792091738065,0.0,59.735503741104324,UNDERPREDICTED,NORMAL/HIGH,6,5,1000+,Weekend
2026-01-26,510,0,9109,0,2710.489544634076,6398.510455365924,70.24382978774754,0.014866107,normal_model,-6398.510455365924,40940936.04742704,6398.510455365924,0.0,70.24382978774754,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-01-01,280,0,14872,0,8555.489387432051,6316.510612567949,42.47250277412552,0.0014145977,normal_model,-6316.510612567949,39898306.31868352,6316.510612567949,0.0,42.47250277412552,UNDERPREDICTED,NORMAL/HIGH,3,1,1000+,Weekday
2026-06-07,272,0,13608,0,7429.179398631367,6178.820601368633,45.40579513057491,0.002195632,normal_model,-6178.820601368633,38177824.02389744,6178.820601368633,0.0,45.40579513057491,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-01-13,510,0,8523,0,2456.0282225371284,6066.971777462872,71.18352431611957,0.008245361,normal_model,-6066.971777462872,36808146.548530996,6066.971777462872,0.0,71.18352431611957,UNDERPREDICTED,NORMAL/HIGH,1,1,1000+,Weekday
2026-04-10,368,0,6050,0,0.6011237838422827,6049.398876216158,99.99006406968856,0.58599216,low_model,-6049.398876216158,36595226.76356532,6049.398876216158,0.0,99.99006406968857,UNDERPREDICTED,NORMAL/HIGH,4,4,1000+,Weekday
2026-01-12,510,0,8006,0,2022.3729428674496,5983.62705713255,74.73928375134338,0.011959903,normal_model,-5983.62705713255,35803792.75884874,5983.62705713255,0.0,74.73928375134338,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-01-26,280,0,10816,0,5124.941195868005,5691.058804131995,52.61703776009611,0.0012616719,normal_model,-5691.058804131995,32388150.312088296,5691.058804131995,0.0,52.61703776009611,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2025-12-25,368,0,19214,0,13594.708363941014,5619.291636058986,29.245818861554003,0.0011061946,normal_model,-5619.291636058986,31576438.49108248,5619.291636058986,0.0,29.245818861554003,UNDERPREDICTED,NORMAL/HIGH,3,12,1000+,Weekday
2026-05-28,272,0,9407,0,3803.3603944504407,5603.639605549559,59.56882752790006,0.0015041614,normal_model,-5603.639605549559,31400776.828883614,5603.639605549559,0.0,59.56882752790006,UNDERPREDICTED,NORMAL/HIGH,3,5,1000+,Weekday
2026-01-10,510,0,8861,0,3365.778835081029,5495.221164918971,62.01581271774032,0.0030836086,normal_model,-5495.221164918971,30197455.651373416,5495.221164918971,0.0,62.01581271774034,UNDERPREDICTED,NORMAL/HIGH,5,1,1000+,Weekend
2026-03-23,273,0,5043,0,237.56533889460607,4805.434661105394,95.28920605007724,0.019317098,normal_model,-4805.434661105394,23092202.282153115,4805.434661105394,0.0,95.28920605007723,UNDERPREDICTED,NORMAL/HIGH,0,3,1000+,Weekday
2026-01-26,385,0,7636,0,2838.977581760888,4797.022418239112,62.8211421979978,0.00045890678,normal_model,-4797.022418239112,23011424.081088617,4797.022418239112,0.0,62.8211421979978,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-06-21,272,0,10918,0,6160.96200238262,4757.03799761738,43.570598988984976,0.0053159962,normal_model,-4757.03799761738,22629410.51077557,4757.03799761738,0.0,43.570598988984976,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-01-26,364,0,7217,0,2522.5639044567347,4694.436095543266,65.04691832538819,0.00052674435,normal_model,-4694.436095543266,22037730.255139504,4694.436095543266,0.0,65.04691832538819,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-06-14,272,0,11865,0,7231.452473416095,4633.547526583905,39.05223368380872,0.0018681233,normal_model,-4633.547526583905,21469762.681111824,4633.547526583905,0.0,39.05223368380872,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-01-19,510,0,7491,0,2867.999263481236,4623.000736518764,61.71406670029054,0.005375229,normal_model,-4623.000736518764,21372135.809853032,4623.000736518764,0.0,61.71406670029054,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-03-19,510,0,5621,0,1059.4410662599664,4561.558933740033,81.15208919658483,0.0010363039,normal_model,-4561.558933740033,20807819.90598351,4561.558933740033,0.0,81.15208919658483,UNDERPREDICTED,NORMAL/HIGH,3,3,1000+,Weekday
2026-05-19,272,0,6161,0,1870.4461317527505,4290.55386824725,69.64054322751582,0.0015190953,normal_model,-4290.55386824725,18408852.49633144,4290.55386824725,0.0,69.64054322751582,UNDERPREDICTED,NORMAL/HIGH,1,5,1000+,Weekday
2026-01-26,351,0,7137,0,2871.704953664339,4265.295046335661,59.76313642056412,0.00045951217,normal_model,-4265.295046335661,18192741.83229553,4265.295046335661,0.0,59.76313642056412,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-01-25,510,0,10966,0,6776.505567028421,4189.494432971579,38.20439935228506,0.0011136795,normal_model,-4189.494432971579,17551863.60389985,4189.494432971579,0.0,38.20439935228506,UNDERPREDICTED,NORMAL/HIGH,6,1,1000+,Weekend
2026-05-17,272,2,5055,0,872.5079267956379,4182.492073204362,82.73970471225246,0.0017189949,normal_model,-4182.492073204362,17493239.942417324,4182.492073204362,0.0,82.73970471225246,UNDERPREDICTED,NORMAL/HIGH,6,5,1000+,Weekend
2026-06-28,272,0,10305,0,6178.32799337427,4126.67200662573,40.04533727924047,0.00793594,normal_model,-4126.67200662573,17029421.85026843,4126.67200662573,0.0,40.04533727924047,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-07-12,337,0,8330,0,4209.561198829415,4120.438801170585,49.4650516347009,0.0004583673,normal_model,-4120.438801170585,16978015.914192088,4120.438801170585,0.0,49.4650516347009,UNDERPREDICTED,NORMAL/HIGH,6,7,1000+,Weekend
2026-05-20,272,0,5783,0,1742.796619869525,4040.203380130475,69.86345115217836,0.0016372786,normal_model,-4040.203380130475,16323243.352817716,4040.203380130475,0.0,69.86345115217837,UNDERPREDICTED,NORMAL/HIGH,2,5,1000+,Weekday
2026-06-14,280,0,14152,0,10121.356330903487,4030.643669096513,28.48108867366106,0.001359327,normal_model,-4030.643669096513,16246088.3872278,4030.643669096513,0.0,28.48108867366106,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-05-25,272,0,6660,0,2640.574350977018,4019.425649022982,60.351736471816544,0.0016781457,normal_model,-4019.425649022982,16155782.548023818,4019.425649022982,0.0,60.351736471816544,UNDERPREDICTED,NORMAL/HIGH,0,5,1000+,Weekday
2026-01-16,510,2,4950,0,978.4610467692584,3971.5389532307418,80.23311016627761,0.000970398,normal_model,-3971.5389532307418,15773121.657029135,3971.5389532307418,0.0,80.23311016627761,UNDERPREDICTED,NORMAL/HIGH,4,1,1000+,Weekday
2026-06-07,280,0,14194,0,10257.205162878132,3936.794837121868,27.735626582512808,0.00088072586,normal_model,-3936.794837121868,15498353.589589396,3936.794837121868,0.0,27.735626582512808,UNDERPREDICTED,NORMAL/HIGH,6,6,1000+,Weekend
2026-01-26,346,0,6637,0,2796.09194018126,3840.90805981874,57.87114750367245,0.0005555223,normal_model,-3840.90805981874,14752574.723980559,3840.90805981874,0.0,57.87114750367245,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-05-16,272,0,5984,0,2184.377199673367,3799.622800326633,63.49637032631406,0.001523851,normal_model,-3799.622800326633,14437133.424762003,3799.622800326633,0.0,63.49637032631406,UNDERPREDICTED,NORMAL/HIGH,5,5,1000+,Weekend
2026-01-09,510,0,4864,0,1108.492202984084,3755.507797015916,77.21027543207065,0.0034143282,normal_model,-3755.507797015916,14103838.813447338,3755.507797015916,0.0,77.21027543207065,UNDERPREDICTED,NORMAL/HIGH,4,1,1000+,Weekday
2026-05-26,272,0,7292,0,3543.26191475991,3748.73808524009,51.408915047176215,0.0017130882,normal_model,-3748.73808524009,14053037.231729537,3748.73808524009,0.0,51.408915047176215,UNDERPREDICTED,NORMAL/HIGH,1,5,1000+,Weekday
2026-05-18,272,0,5307,0,1594.5880263162137,3712.4119736837865,69.95311802682846,0.0018869522,normal_model,-3712.4119736837865,13782002.662350748,3712.4119736837865,0.0,69.95311802682846,UNDERPREDICTED,NORMAL/HIGH,0,5,1000+,Weekday
2026-01-26,343,0,6630,0,2919.794420141038,3710.205579858962,55.96086847449415,0.00043626886,normal_model,-3710.205579858962,13765625.444816578,3710.205579858962,0.0,55.96086847449415,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2026-02-01,510,0,7973,0,4294.286233614283,3678.7137663857166,46.139643376216185,0.003647165,normal_model,-3678.7137663857166,13532934.974995784,3678.7137663857166,0.0,46.139643376216185,UNDERPREDICTED,NORMAL/HIGH,6,2,1000+,Weekend
2025-12-21,280,0,13362,0,9704.671634851426,3657.3283651485744,27.37111484170464,0.0022144038,normal_model,-3657.3283651485744,13376050.770520344,3657.3283651485744,0.0,27.371114841704642,UNDERPREDICTED,NORMAL/HIGH,6,12,1000+,Weekend
2026-01-26,373,0,6557,0,2908.2921770996395,3648.7078229003605,55.64599394388227,0.001433231,normal_model,-3648.7078229003605,13313068.776894288,3648.7078229003605,0.0,55.64599394388227,UNDERPREDICTED,NORMAL/HIGH,0,1,1000+,Weekday
2025-10-21,368,0,6452,0,2871.657010628082,3580.342989371918,55.49198681605577,0.011670196,normal_model,-3580.342989371918,12818855.921544643,3580.342989371918,0.0,55.49198681605577,UNDERPREDICTED,NORMAL/HIGH,1,10,1000+,Weekday
2026-05-27,272,0,7250,0,3684.519553709852,3565.480446290148,49.17904063848481,0.0021437337,normal_model,-3565.480446290148,12712650.812877392,3565.480446290148,0.0,49.1790406384848,UNDERPREDICTED,NORMAL/HIGH,2,5,1000+,Weekday
2026-05-07,272,0,3570,0,10.789123758533044,3559.210876241467,99.69778364822037,0.86568373,low_model,-3559.210876241467,12667982.06155555,3559.210876241467,0.0,99.69778364822037,UNDERPREDICTED,NORMAL/HIGH,3,5,1000+,Weekday
