feature,importance
lag7,0.2858871
store_gate_weekday_recent_median,0.21752484
store_gate_weekday_recent_mean,0.1672431
lag1,0.07159602
rolling7,0.03464912
low10_count7,0.029746328
low5_count7,0.021719828
store_gate_weekday_median,0.018079592
store_gate_recent_mean_7,0.017561076
zero_lag1,0.017286059
is_weekend,0.013379752
weekday,0.010319464
month,0.0061638993
zero_count7,0.005113311
store_gate_low5_ratio_30,0.005020247
store_gate_weekday_mean,0.0043231337
day,0.0042673005
month_cos,0.004080908
trend_7_vs_30,0.0039875414
quarter,0.003725622
week,0.003701734
lag14,0.0036241848
weekday_cos,0.0035786424
weekday_sin,0.0031351892
month_sin,0.002877529
low5_count30,0.0026976163
store_gate_recent_median_7,0.0024362442
zero_count30,0.0022851697
store_gate_zero_ratio_30,0.0022045295
store_gate_median,0.0020809642
year,0.002068549
trend_14_vs_28,0.0020677294
lag30,0.0020103685
rolling14,0.0020071708
store_id,0.001991962
lag21,0.0018929112
store_gate_recent_median_30,0.0018619458
rolling28,0.0018509325
low10_count30,0.0017124446
store_gate_recent_mean_30,0.0017012573
store_gate_low10_ratio_30,0.0016702514
dow_mean,0.0015936447
store_gate_mean,0.0014203893
lag28,0.0013452002
gate_id,0.0012557814
rolling21,0.0011548437
rolling30,0.0011360301
zero_lag7,0.00096256606
holiday,0.0
