feature,low_model_importance,normal_model_importance
lag7,0.02535927,0.5279924
lag14,0.0067579406,0.14834587
is_weekend,0.023925494,0.07737858
rolling7,0.15194832,0.05746125
lag21,0.005451466,0.032055154
lag1,0.6741474,0.03168168
weekday,0.007342486,0.02310906
holiday,0.0044301464,0.020176493
weekday_cos,0.004579613,0.0077612237
lag28,0.00508915,0.00740404
weekday_sin,0.0048886794,0.0055691213
is_quarter_start,0.004017829,0.0052028433
quarter,0.0028999457,0.0050151893
week,0.004239865,0.0046663564
month_sin,0.005076755,0.0046471953
month_cos,0.0042585446,0.004467263
is_month_start,0.003243225,0.0041562365
month,0.0029664156,0.0036282148
day,0.0031795425,0.0033795813
is_quarter_end,0.0034474295,0.0033580984
trend,0.004581841,0.0033104534
store_weekday_mean,0.0040392545,0.0031022418
rolling14,0.006849977,0.0029230271
is_month_end,0.003618997,0.0025721826
year,0.0031454768,0.0025033131
gate_weekday_mean,0.004360632,0.0015797032
rolling30,0.007831592,0.0015251974
store_mean,0.00442534,0.0011497294
store_id,0.003865889,0.001101552
lag30,0.0035758077,0.0009985476
gate_mean,0.0038943815,0.0009782229
gate_id,0.0025611774,0.00079987716
