feature,low_model_importance,normal_model_importance,classifier_importance
lag7,0.025891373,0.5299223,0.07044408
lag14,0.007436782,0.15061174,0.013062767
is_weekend,0.0332133,0.084452406,0.105244584
rolling7,0.1516026,0.056463894,0.5920538
lag21,0.0059560537,0.03591885,0.0076847784
lag1,0.64944303,0.026257476,0.0737237
holiday,0.005214239,0.020748442,0.011271744
weekday,0.0075626937,0.020740833,0.0251071
lag28,0.005189258,0.010628709,0.004726707
weekday_cos,0.004450381,0.006235578,0.006167624
month_sin,0.0060149822,0.005117308,0.0035329813
weekday_sin,0.005011862,0.0045618764,0.008800584
week,0.005245302,0.0043015424,0.0038979491
is_month_start,0.003913921,0.003965839,0.004679414
is_quarter_start,0.005219083,0.0036964593,0.004611273
month_cos,0.0047332235,0.0034178253,0.0037745836
month,0.0030710567,0.003313413,0.0037039083
rolling14,0.0072646886,0.0032213703,0.011913062
trend,0.0047231447,0.0031967221,0.0040075416
quarter,0.0027068774,0.0031601614,0.004224559
day,0.0037745503,0.0030912298,0.0033624743
is_quarter_end,0.004670086,0.0022267348,0.004689885
year,0.0036150708,0.0021568374,0.0033373325
is_month_end,0.0046092267,0.0021209095,0.0034775916
gate_weekday_mean,0.005451307,0.0019738716,0.002601646
rolling30,0.008941418,0.0016611703,0.0039268364
store_weekday_mean,0.005186792,0.0014798815,0.0028633364
gate_mean,0.0038219239,0.0012295787,0.0022023397
store_mean,0.0056904647,0.0012151867,0.0027821632
store_id,0.004046934,0.0010678675,0.0028968605
lag30,0.003845973,0.00101849,0.002522365
gate_id,0.002482361,0.00082549185,0.0027044893
